song title
As It Was - Harry Styles
Dirty Soda - JuiceDaWrld
Chicago Freestyle (feat. Giveon) - Drake
Mob Ties - Drake
Suge - DaBaby
Too Many Years - Kodak Black
Held Me Down - NAV
Jettski Grizzley (feat. Lil Pump) - Tee Grizzley
Blasé (feat. Future & Rae Sremmurd) - Ty Dolla $ign
Relationship (feat. Future) - Young Thug
Thief In The Night (feat. Trouble) - Young Thug
Get Right Witcha - Migos
Can't Have Everything - Drake
Comin Out Strong (feat. The Weeknd) - Future
I Got the Keys (feat. Jay-Z & Future) - DJ Khaled
Friends With Benefits (KSI vs MNDM) - KSI
Wiggle (feat. Snoop Dogg) - TWRK Remix - Jason Derulo
I Dont Mind - Kyle Andrews
Pop Style - Drake
One Dance - Drake
